Year,Tm,Lg,G,W,L,Ties,W-L%,pythW-L%,Finish,GB,Playoffs,R,RA,Attendance,BatAge,PAge,#Bat,#P,Top Player,Managers
1987,Baltimore Orioles,AL East,162,67,95,0,0.414,0.415,6th of 7,31,,729,880,"1,835,692",30.2,27.7,41,18,E.Murray (3.9),C.Ripken (67-95)
1986,Baltimore Orioles,AL East,162,73,89,0,0.451,0.468,7th of 7,22.5,,708,760,"1,973,176",29.8,28.8,41,17,C.Ripken (6.6),E.Weaver (73-89)
1985,Baltimore Orioles,AL East,161,83,78,0,0.516,0.531,4th of 7,16,,818,764,"2,132,387",29.6,28.9,38,15,E.Murray (5.6),"J.Altobelli (29-26), C.Ripken (1-0) and E.Weaver (53-52)"
1984,Baltimore Orioles,AL East,162,85,77,0,0.525,0.51,5th of 7,19,,681,667,"2,045,784",29.9,28.6,37,15,C.Ripken (10.0),J.Altobelli (85-77)
1983,Baltimore Orioles,AL East,162,98,64,0,0.605,0.592,1st of 7,--,Won WS (4-1),799,652,"2,042,071",29.8,28.2,37,14,C.Ripken (8.2),J.Altobelli (98-64)
1982,Baltimore Orioles,AL East,163,94,68,1,0.58,0.554,2nd of 7,1,,774,687,"1,613,031",29.6,29.5,34,13,G.Roenicke (5.2),E.Weaver (94-68)
1981,Baltimore Orioles,AL East,105,59,46,0,0.562,0.492,2nd of 7,1,,429,437,"1,024,247",30.3,29.3,34,12,E.Murray (3.7),E.Weaver (59-46)
1980,Baltimore Orioles,AL East,162,100,62,0,0.617,0.603,2nd of 7,3,,805,640,"1,797,438",29.7,28.8,34,12,A.Bumbry (6.1),E.Weaver (100-62)
1979,Baltimore Orioles,AL East,159,102,57,0,0.642,0.618,1st of 7,--,Lost WS (4-3),757,582,"1,681,009",28.9,27.5,34,12,K.Singleton (5.3),E.Weaver (102-57)
1978,Baltimore Orioles,AL East,161,90,71,0,0.559,0.518,4th of 7,9,,659,633,"1,051,724",28.1,26.8,33,15,D.DeCinces (6.8),E.Weaver (90-71)
1977,Baltimore Orioles,AL East,161,97,64,0,0.602,0.544,2nd of 7,2.5,,719,653,"1,195,769",27.9,27.9,38,16,J.Palmer (7.3),E.Weaver (97-64)
1976,Baltimore Orioles,AL East,162,88,74,0,0.543,0.516,2nd of 6,10.5,,619,598,"1,058,609",29.5,28.8,37,15,M.Belanger (6.5),E.Weaver (88-74)
1975,Baltimore Orioles,AL East,159,90,69,0,0.566,0.595,2nd of 6,4.5,,682,553,"1,002,157",30.3,29.1,34,13,J.Palmer (8.4),E.Weaver (90-69)
1974,Baltimore Orioles,AL East,162,91,71,0,0.562,0.534,1st of 6,--,Lost ALCS (3-1),659,612,"962,572",29,28.7,32,11,B.Grich (7.3),E.Weaver (91-71)
1973,Baltimore Orioles,AL East,162,97,65,0,0.599,0.632,1st of 6,--,Lost ALCS (3-2),754,561,"958,667",28.2,28.8,33,12,B.Grich (8.3),E.Weaver (97-65)
1972,Baltimore Orioles,AL East,154,80,74,0,0.519,0.585,3rd of 6,5,,519,430,"899,950",28.8,28.8,32,11,J.Palmer (6.1),E.Weaver (80-74)
1971,Baltimore Orioles,AL East,158,101,57,0,0.639,0.649,1st of 6,--,Lost WS (4-3),742,530,"1,023,037",29.9,29.5,31,13,B.Robinson (6.0),E.Weaver (101-57)
1970,Baltimore Orioles,AL East,162,108,54,0,0.667,0.643,1st of 6,--,Won WS (4-1),792,574,"1,057,069",28.8,28.5,32,12,J.Palmer (6.4),E.Weaver (108-54)
1969,Baltimore Orioles,AL East,162,109,53,0,0.673,0.679,1st of 6,--,Lost WS (4-1),779,517,"1,062,069",28.2,27.7,30,14,F.Robinson (7.5),E.Weaver (109-53)
1968,Baltimore Orioles,AL,162,91,71,0,0.562,0.569,2nd of 10,12,,579,497,"943,977",26.9,25.9,33,15,B.Robinson (8.4),H.Bauer (43-37) and E.Weaver (48-34)
1967,Baltimore Orioles,AL,161,76,85,0,0.472,0.545,6th of 10,15.5,,654,592,"955,053",26.9,26,41,21,B.Robinson (7.7),H.Bauer (76-85)
1966,Baltimore Orioles,AL,160,97,63,0,0.606,0.603,1st of 10,--,Won WS (4-0),755,601,"1,203,366",27,25.7,34,15,F.Robinson (7.7),H.Bauer (97-63)
1965,Baltimore Orioles,AL,162,94,68,0,0.58,0.547,3rd of 10,8,,641,578,"781,649",27.4,27.4,34,16,B.Robinson (4.5),H.Bauer (94-68)
1964,Baltimore Orioles,AL,163,97,65,1,0.599,0.582,3rd of 10,2,,679,567,"1,116,215",27.9,27.9,37,16,B.Robinson (8.1),H.Bauer (97-65)
1963,Baltimore Orioles,AL,162,86,76,0,0.531,0.517,4th of 10,18.5,,644,621,"774,343",27.4,28,34,17,S.Barber (3.8),B.Hitchcock (86-76)
1962,Baltimore Orioles,AL,162,77,85,0,0.475,0.481,7th of 10,19,,652,680,"790,254",27.3,28,42,17,B.Robinson (6.1),B.Hitchcock (77-85)
1961,Baltimore Orioles,AL,163,95,67,1,0.586,0.573,3rd of 10,14,,691,588,"951,089",27.4,27,36,13,J.Gentile (6.9),P.Richards (78-57) and L.Harris (17-10)
1960,Baltimore Orioles,AL,154,89,65,0,0.578,0.554,2nd of 8,8,,682,606,"1,187,849",27.8,25.4,41,14,B.Robinson (4.1),P.Richards (89-65)
1959,Baltimore Orioles,AL,155,74,80,1,0.481,0.446,6th of 8,20,,551,621,"891,926",30.1,27.4,41,15,H.Wilhelm (6.8),P.Richards (74-80)
1958,Baltimore Orioles,AL,154,74,79,1,0.484,0.455,6th of 8,17.5,,521,575,"829,991",29.2,27.9,38,14,J.Harshman (5.2),P.Richards (74-79)
1957,Baltimore Orioles,AL,154,76,76,2,0.5,0.507,5th of 8,21,,597,588,"1,029,581",29.1,29.9,43,17,B.Gardner (3.7),P.Richards (76-76)
1956,Baltimore Orioles,AL,154,69,85,0,0.448,0.405,6th of 8,28,,571,705,"901,201",28.2,30,48,23,B.Nieman (4.0),P.Richards (69-85)
1955,Baltimore Orioles,AL,156,57,97,2,0.37,0.352,7th of 8,39,,540,754,"852,039",29.4,30.7,54,23,J.Wilson (3.5),P.Richards (57-97)
1954,Baltimore Orioles,AL,154,54,100,0,0.351,0.356,7th of 8,57,,483,668,"1,060,910",29.8,28.2,38,16,C.Abrams (4.0),J.Dykes (54-100)
,,,,,,,,,,,,,,,,,,,,
