Year,Tm,Lg,G,W,L,Ties,W-L%,pythW-L%,Finish,GB,Playoffs,R,RA,Attendance,BatAge,PAge,#Bat,#P,Top Player,Managers
1993,San Diego Padres,NL West,162,61,101,0,0.377,0.442,7th of 7,43,,679,772,"1,375,432",26.9,26.7,46,23,G.Harris (4.9),J.Riggleman (61-101)
1992,San Diego Padres,NL West,162,82,80,0,0.506,0.486,3rd of 6,16,,617,636,"1,721,406",28.4,29.1,39,17,G.Sheffield (6.2),G.Riddoch (78-72) and J.Riggleman (4-8)
1991,San Diego Padres,NL West,162,84,78,0,0.519,0.493,3rd of 6,10,,636,646,"1,804,289",28,29,48,23,T.Gwynn (5.6),G.Riddoch (84-78)
1990,San Diego Padres,NL West,162,75,87,0,0.463,0.5,4th of 6,16,,673,673,"1,856,396",28.7,29.5,37,16,E.Whitson (7.0),J.McKeon (37-43) and G.Riddoch (38-44)
1989,San Diego Padres,NL West,162,89,73,0,0.549,0.512,2nd of 6,3,,642,626,"2,009,031",27.9,29.2,40,17,E.Whitson (6.5),J.McKeon (89-73)
1988,San Diego Padres,NL West,161,83,78,0,0.516,0.509,3rd of 6,11,,594,583,"1,506,896",27.2,28,35,14,R.Alomar (4.4),L.Bowa (16-30) and J.McKeon (67-48)
1987,San Diego Padres,NL West,162,65,97,0,0.401,0.439,6th of 6,25,,668,763,"1,454,061",26.5,27.7,39,19,T.Gwynn (8.6),L.Bowa (65-97)
1986,San Diego Padres,NL West,162,74,88,0,0.457,0.456,4th of 6,22,,656,723,"1,805,716",29.2,28.1,39,19,T.Gwynn (6.7),S.Boros (74-88)
1985,San Diego Padres,NL West,162,83,79,0,0.512,0.52,3rd of 6,12,,650,622,"2,210,352",29.7,28.2,33,15,T.Gwynn (5.2),D.Williams (83-79)
1984,San Diego Padres,NL West,162,92,70,0,0.568,0.536,1st of 6,--,Lost WS (4-1),686,634,"1,983,904",28.3,27.6,31,13,T.Gwynn (6.3),D.Williams (92-70)
1983,San Diego Padres,NL West,163,81,81,1,0.5,0.5,4th of 6,10,,653,653,"1,539,815",27.4,27.4,41,18,T.Kennedy (4.5),D.Williams (81-81)
1982,San Diego Padres,NL West,162,81,81,0,0.5,0.512,4th of 6,8,,675,658,"1,607,516",26.6,27.4,38,14,S.Lezcano (5.9),D.Williams (81-81)
1981,San Diego Padres,NL West,110,41,69,0,0.373,0.421,6th of 6,26,,382,455,"519,161",25.9,27.6,34,14,G.Richards (2.8),F.Howard (41-69)
1980,San Diego Padres,NL West,163,73,89,1,0.451,0.454,6th of 6,19.5,,591,654,"1,139,026",28.1,28.7,36,15,O.Smith (5.1),J.Coleman (73-89)
1979,San Diego Padres,NL West,161,68,93,0,0.422,0.445,5th of 6,22,,603,681,"1,456,967",27.5,29.1,35,13,D.Winfield (8.3),R.Craig (68-93)
1978,San Diego Padres,NL West,162,84,78,0,0.519,0.495,4th of 6,11,,591,598,"1,670,107",26,28.4,38,16,G.Tenace (5.2),R.Craig (84-78)
1977,San Diego Padres,NL West,162,69,93,0,0.426,0.415,5th of 6,29,,692,834,"1,376,269",25.7,26,35,15,G.Hendrick (5.8),"J.McNamara (20-28), B.Skinner (1-0) and A.Dark (48-65)"
1976,San Diego Padres,NL West,162,73,89,0,0.451,0.432,5th of 6,29,,570,662,"1,458,478",28.4,26.2,36,16,D.Winfield (5.1),J.McNamara (73-89)
1975,San Diego Padres,NL West,162,71,91,0,0.438,0.404,4th of 6,37,,552,683,"1,281,747",27.5,25.6,38,14,R.Jones (7.6),J.McNamara (71-91)
1974,San Diego Padres,NL West,162,60,102,0,0.37,0.314,6th of 6,42,,541,830,"1,075,399",26.5,24.8,43,18,D.Freisleben (3.6),J.McNamara (60-102)
1973,San Diego Padres,NL West,162,60,102,0,0.37,0.349,6th of 6,39,,548,770,"611,826",25.2,25.4,32,12,D.Roberts (3.3),D.Zimmer (60-102)
1972,San Diego Padres,NL West,153,58,95,0,0.379,0.362,6th of 6,36.5,,488,665,"644,273",25.1,25.2,41,15,N.Colbert (5.4),P.Gomez (4-7) and D.Zimmer (54-88)
1971,San Diego Padres,NL West,161,61,100,0,0.379,0.398,6th of 6,28.5,,486,610,"557,513",26.4,26.3,40,16,D.Roberts (7.8),P.Gomez (61-100)
1970,San Diego Padres,NL West,162,63,99,0,0.389,0.434,6th of 6,39,,681,788,"643,679",26.6,26.4,37,16,C.Gaston (5.1),P.Gomez (63-99)
1969,San Diego Padres,NL West,162,52,110,0,0.321,0.299,6th of 6,41,,468,746,"512,970",26.2,24.9,42,17,O.Brown (2.6),P.Gomez (52-110)
